iata,name,city,state,country,latitude,longitude
AAX,Romeu Zuma Airport,Araxá,Minas Gerais,Brazil,-19.5603,-46.9653
AFL,Alta Floresta Airport,Alta Floresta,Mato Grosso,Brazil,-9.8661,-56.1044
AJU,Santa Maria Airport,Aracaju,Sergipe,Brazil,-10.985,-37.0733
ARU,Aracatuba Airport,Araçatuba,Sao Paulo,Brazil,-21.1436,-50.4261
ATM,Altamira Airport,Altamira,Para,Brazil,-3.2506,-52.2517
AUX,Araguaina Airport,Araguaina,Norte,Brazil,-7.2281,-48.2403
BAU,Bauru Airport,Bauru,Sao Paulo,Brazil,-22.345,-49.0531
BEL,Val de Caes International Airport,Belem,Para,Brazil,-1.3844,-48.4783
BPS,Porto Seguro Airport,Porto Seguro,Bahia,Brazil,-16.4406,-39.0833
BRA,Barreiras Airport,Barreiras,Bahia,Brazil,-12.0792,-45.01
BSB,Juscelino Kubitschek International Airport,Lago Sul,Distrito Federal,Brazil,-15.8622,-47.9122
BVB,Boa Vista International Airport,Boa Vista,Nordeste,Brazil,2.8417,-60.6917
BVH,Brigadeiro Camarao Airport,Vilhena,Rondonia,Brazil,-12.7014,-60.0931
CAC,Cascavel Airport,Cascavel,Nordeste,Brazil,-25.0017,-53.5014
CCM,Criciuma Airport,Forquilhinha,Santa Catarina,Brazil,-28.7239,-49.4208
CFC,Cacador Airport,Caçador,Santa Catarina,Brazil,-26.7775,-51.0175
CGB,Marechal Rondon International Airport,Cuiaba,Centro-Oeste,Brazil,-15.6497,-56.1169
CGH,Congonhas International Airport,Sao Paulo,Sao Paulo,Brazil,-23.6285,-46.6589
CGR,Campo Grande International Airport,Campo Grande,Mato Grosso do Sul,Brazil,-20.475,-54.6736
CKS,Carajas Airport,Carajas,Para,Brazil,-6.1175,-50.0036
CMG,Corumba International Airport,Corumba,Mato Grosso do Sul,Brazil,-19.0055,-57.7055
CNF,Tancredo Neves International Airport,Confins,Minas Gerais,Brazil,-19.6242,-43.9717
CPQ,Campinas International Airport,Campinas,Sao Paulo,Brazil,-23,-47.1333
CPV,Presidente Joao Suassuna Airport,Campina Grande,Paraiba,Brazil,-7.2689,-35.8947
CWB,Afonso Pena International Airport,Sao Jose dos Pinhais,Parana,Brazil,-25.5275,-49.1731
CXJ,Campo dos Bugres Airport,Caxias do Sul,Rio Grande do Sul,Brazil,-29.1961,-51.1906
CZS,Cruzeiro do Sul International Airport,Cruzeiro Do Sul,Acre,Brazil,-7.5994,-72.7697
DOU,Dourados Airport,Dourados,Mato Grosso do Sul,Brazil,-22.1978,-54.9225
ERM,Comandante Kraemer Airport,Erechim,Rio Grande do Sul,Brazil,-27.6608,-52.2756
FEN,Fernando de Noronha Airport,Vila dos Remédios,Pernambuco,Brazil,-3.8519,-32.4244
FLN,Hercilio Luz International Airport,Florianopolis,Santa Catarina,Brazil,-27.6697,-48.5517
FOR,Pinto Martins International Airport,Fortaleza,Ceara,Brazil,-3.7758,-38.5322
FRC,Franca Airport,Franca,Sao Paulo,Brazil,-20.5897,-47.3819
GEL,Santo Angelo Airport,Santo Angelo,Rio Grande do Sul,Brazil,-28.2808,-54.1683
GIG,Rio de Janeiro-Antonio Carlos Jobim Internationa,Rio de Janeiro,Rio de Janeiro,Brazil,-22.8094,-43.25
GRU,Governador Andre Franco Montoro International Ai,Guarulhos,Sao Paulo,Brazil,-23.435,-46.4728
GVR,Governador Valadares Airport,Governador Valadares,Minas Gerais,Brazil,-18.8958,-41.9856
GYN,Santa Genoveva Airport,Goiania,Goias,Brazil,-16.6294,-49.2261
IGU,Cataratas International Airport,Foz do Iguacu,Parana,Brazil,-25.5958,-54.4864
IMP,Prefeito Renato Moreira Airport,Imperatriz,Maranhao,Brazil,-5.5303,-47.4669
IOS,Jorge Amado Airport,Ilhéus,Bahia,Brazil,-14.8142,-39.0331
IPN,Usiminas Airport,Santana do Paraíso,Minas Gerais,Brazil,-19.47,-42.4875
JCB,Joacaba Airport,Joaçaba,Santa Catarina,Brazil,-27.1722,-51.5511
JDF,Francisco de Assis Airport,Juiz de Fora,Minas Gerais,Brazil,-21.7925,-43.385
JDO,Cariri Regional Airport,Juazeiro do Norte,Ceara,Brazil,-7.2181,-39.2706
JOI,Lauro Carneiro de Loyola Airport,Joinville,Santa Catarina,Brazil,-26.223,-48.8046
JPA,Presidente Castro Pinto International Airport,Santa Rita,Paraiba,Brazil,-7.1481,-34.9506
JPR,Ji Parana Airport,Ji-Paraná,Rondonia,Brazil,-10.8703,-61.8461
LAJ,Lajes Airport,Lages,Santa Catarina,Brazil,-27.7831,-50.2825
LDB,Londrina Airport,Londrina,Parana,Brazil,-23.3297,-51.1361
MAB,Maraba Airport,Marabá,Para,Brazil,-5.3533,-49.1336
MAO,Eduardo Gomes International Airport,Manaus,Amazonas,Brazil,-3.0392,-60.0469
MCP,Macapa International Airport,Macapá,Amapa,Brazil,0.0525,-51.0675
