origin,destination,count
AJU,GRU,31
AJU,BSB,23
BEL,GIG,23
BEL,GRU,89
BEL,MAO,39
BEL,BSB,53
BEL,FOR,35
BEL,MCP,26
BPS,CNF,39
BPS,GRU,101
BPS,BSB,23
BPS,SJP,4
BPS,CGH,12
BPS,POA,4
BPS,GIG,4
BPS,GYN,4
BSB,THE,54
BSB,SDU,185
BSB,VIX,54
BSB,SSA,85
BSB,GRU,152
BSB,GIG,50
BSB,FLN,49
BSB,FOR,88
BSB,CGH,337
BSB,REC,62
BSB,NAT,35
BSB,MAO,84
BSB,PVH,49
BSB,JPA,53
BSB,BEL,57
BSB,MCZ,57
BSB,BPS,23
BSB,SLZ,53
BSB,AJU,23
BSB,IOS,27
BSB,IMP,31
BSB,CNF,106
BSB,POA,87
BSB,CWB,57
BSB,CGB,49
BSB,CGR,43
BSB,VCP,53
BSB,GYN,52
BSB,RBR,43
BSB,BVB,30
BSB,MCP,30
BSB,STM,26
BSB,MAB,26
BSB,IGU,4
BVB,BSB,30
BVB,MAO,8
CGB,CGH,109
CGB,BSB,49
CGH,BSB,338
CGH,SDU,743
CGH,UDI,87
CGH,POA,239
CGH,LDB,62
CGH,FLN,150
CGH,CWB,273
CGH,CNF,267
CGH,SSA,108
CGH,IGU,35
CGH,CGR,58
CGH,GYN,163
CGH,RAO,106
CGH,SJP,134
CGH,NVT,114
CGH,VIX,115
CGH,JOI,83
CGH,IOS,39
CGH,CGB,109
CGH,GIG,65
CGH,REC,27
CGH,MCZ,4
CGH,BPS,12
CGR,CGH,58
CGR,GRU,62
CGR,BSB,43
CNF,GRU,151
CNF,CGH,270
CNF,BSB,110
CNF,BPS,39
CNF,SDU,111
CNF,REC,25
CNF,FLN,4
CNF,FOR,4
CNF,SSA,8
CWB,GRU,230
CWB,CGH,272
CWB,BSB,61
CWB,IGU,4
CWB,FOR,4
CWB,GIG,4
CWB,VCP,9
FLN,BSB,49
FLN,CGH,149
FLN,GRU,144
FLN,CNF,4
FOR,GRU,257
FOR,VIX,27
FOR,SSA,35
FOR,SLZ,62
FOR,BSB,89
FOR,REC,62
FOR,NAT,35
FOR,THE,39
FOR,BEL,31
FOR,GIG,34
FOR,POA,4
FOR,CWB,4
FOR,MAO,8
FOR,CNF,4
GIG,GRU,150
GIG,BSB,50
GIG,NAT,31
GIG,IGU,49
GIG,CGH,65
GIG,BEL,23
GIG,FOR,34
GIG,SLZ,30
GIG,VIX,8
GIG,MCZ,12
GIG,MAO,8
GIG,CWB,4
GIG,GYN,4
GIG,BPS,4
GIG,VCP,1
GRU,CWB,1
GRU,BEL,93
GRU,SSA,241
GRU,MAO,101
GRU,IGU,94
GRU,REC,229
GRU,FOR,257
GRU,POA,244
GRU,CGR,62
GRU,GIG,151
GRU,CNF,155
GRU,SLZ,61
GRU,SJP,50
GRU,SDU,54
GRU,VIX,111
GRU,UDI,62
GRU,NAT,113
GRU,PMW,58
GRU,BSB,152
GRU,FLN,145
GRU,MCZ,126
GRU,BPS,101
GRU,JPA,61
GRU,LDB,57
GRU,GYN,60
GRU,THE,29
GRU,IMP,29
GRU,AJU,30
GRU,PVH,21
GRU,RAO,4
GRU,VCP,27
GYN,CGH,162
GYN,GRU,60
GYN,BSB,52
GYN,GIG,4
GYN,SDU,4
GYN,BPS,4
IGU,GRU,94
IGU,CGH,35
IGU,GIG,49
IGU,SDU,8
IGU,CWB,4
IGU,BSB,4
IMP,SLZ,27
IMP,BSB,31
IMP,GRU,29
IOS,BSB,27
IOS,CGH,39
JOI,CGH,83
JPA,BSB,54
JPA,GRU,61
LDB,CGH,62
LDB,GRU,57
MAB,BSB,26
MAO,GRU,85
MAO,BSB,84
MAO,BEL,34
MAO,BVB,8
MAO,FOR,8
MAO,GIG,8
MCP,BEL,27
MCP,BSB,30
MCZ,GRU,125
MCZ,BSB,57
MCZ,GIG,12
MCZ,POA,4
MCZ,CGH,4
NAT,GRU,113
NAT,FOR,35
NAT,GIG,31
NAT,BSB,35
NVT,CGH,114
PMW,GRU,58
POA,GRU,248
POA,CGH,239
POA,BSB,83
POA,FOR,4
POA,BPS,4
POA,MCZ,4
POA,VCP,4
PVH,BSB,49
PVH,GRU,21
RAO,CGH,106
RAO,GRU,4
RBR,BSB,43
REC,FOR,62
REC,CNF,26
REC,CGH,27
REC,GRU,228
REC,BSB,62
REC,SSA,4
SDU,CGH,739
SDU,BSB,184
SDU,CNF,115
SDU,GRU,54
SDU,IGU,8
SDU,GYN,4
SJP,GRU,50
SJP,CGH,134
SJP,BPS,4
SLZ,FOR,62
SLZ,GRU,61
SLZ,IMP,27
SLZ,BSB,53
SLZ,GIG,30
SSA,GRU,244
SSA,CGH,108
SSA,BSB,85
SSA,FOR,30
SSA,CNF,8
SSA,VCP,4
STM,BSB,26
THE,BSB,54
THE,FOR,39
THE,GRU,29
UDI,CGH,87
UDI,GRU,62
VCP,BSB,53
VCP,MAO,5
VCP,GRU,6
VIX,CGH,115
VIX,BSB,54
VIX,GRU,111
VIX,FOR,26
VIX,GIG,8
VIX,POA,4
AAX,AAX,1
AFL,AFL,1
ARU,ARU,1
ATM,ATM,1
AUX,AUX,1
BAU,BAU,1
BRA,BRA,1
BVH,BVH,1
CAC,CAC,1
CCM,CCM,1
CFC,CFC,1
CKS,CKS,1
CMG,CMG,1
CPQ,CPQ,1
CPV,CPV,1
CXJ,CXJ,1
CZS,CZS,1
DOU,DOU,1
ERM,ERM,1
FEN,FEN,1
FRC,FRC,1
GEL,GEL,1
GVR,GVR,1
IPN,IPN,1
JCB,JCB,1
JDF,JDF,1
JDO,JDO,1
JPR,JPR,1
LAJ,LAJ,1
MEA,MEA,1
MGF,MGF,1
MII,MII,1
MOC,MOC,1
MVS,MVS,1
OPS,OPS,1
ORJ,ORJ,1
PET,PET,1
PFB,PFB,1
PIN,PIN,1
PLU,PLU,1
PNZ,PNZ,1
PPB,PPB,1
RIA,RIA,1
RIG,RIG,1
ROO,ROO,1
SJK,SJK,1
SRA,SRA,1
TMT,TMT,1
TUR,TUR,1
UBA,UBA,1
URG,URG,1
VDC,VDC,1
XAP,XAP,1
IPG,IPG,1
